,Correlation,p-value,L1 Loss
d6714d7c3615ba063d1d0492eec82c6d,0.456,0.0,1.06
97c8a5c6da21423d278da40d3d097091,0.601,0.0,0.75
33e9ed633be24242d578fdcb987d5204,0.452,0.0,0.83
656d9f201c8b20ad7d564385bb75373c,0.507,0.0,1.15
30e377d1ba51c3b618eb5ddb6b0f697f,0.503,0.0,0.85
4000e013436fcec129be057b50de8b84,0.431,0.0,0.77
248559913ee8411184e859b2cff03c3d,0.489,0.0,0.85
d64a98380acc71eb083b53619116be58,0.388,0.0,0.99
54d5f8e4072100cd14847b80fd5a05ee,0.284,0.004,0.95
63230c4ce167ed3b2078073f20e53040,0.682,0.0,0.82
de5f30824b3076c38c460c4b25c93bbe,0.378,0.0,0.98
977be77c61f840dd4474bfa9539d5cc8,0.641,0.0,1.01
2e94e1da9d127d899211d8035ef47e37,0.131,0.194,0.89
4f7de72b8f522a08c19b67098e7eb3bf,0.493,0.0,1.06
b52a0e5afbeaa0078a05686809a42aff,0.324,0.001,0.95
5eafc8712c38d4a4161fdad2a3676824,0.42,0.0,0.88
2f19efe094839a0af9a7636d906705ac,0.57,0.0,0.93
54b9e10723cde393ad4416e3b413d1d2,0.491,0.0,0.85
e3b1e7c9ff832bbce8dd353bdb54e06b,0.582,0.0,0.7
329eea72acb8d2a73c3e02263bd7804f,0.555,0.0,0.96
58908ab0a8a9a351fc130553fb9c7deb,0.578,0.0,0.66
847511c1b5834ef40a52df8dc2728761,0.656,0.0,0.72
1bcec1e4bb96d2ddeb872a24e1f22d91,0.607,0.0,0.89
ae804105a9eac1d79315eb701493b3c8,0.22,0.028,1.35
6e0254a62650e29c3f47099cfe731d17,0.353,0.0,0.93
f415a45d7ee027aaffe4fbce0f9a62f3,0.377,0.0,0.73
c9e3889e3f9729d09e1c27cf374b9eaa,0.322,0.001,1.03
0e730c6f8538015648ef71e91fc00e4e,0.488,0.0,0.88
01ca0bee5ab2dd5169a2f3f07ebc1bd8,0.485,0.0,0.82
33a0dd1a65aadc8b3ed534609062fe01,0.519,0.0,0.71
980df83bc6d896123084913b368134fc,0.296,0.003,0.89
2f0fd62bb61d1eae82733ab5b0520241,0.346,0.0,0.93
d3917c7f522ebd67bef2861bda3355f4,0.288,0.004,0.98
cbc18248903f9ab68fbaceb25f56b8f7,0.522,0.0,0.94
7dcdb7adf68c2e640bc0c6e758b8fd56,0.524,0.0,0.86
875ace29184db353f3c2529ae653df9e,0.551,0.0,0.74
c67f29c39a7308257247001ff3974123,0.397,0.0,0.95
2ce4ea5704c837db3795569fe45dbb1d,0.616,0.0,0.72
b8f5afdb8468438bae2d68bd5bd509ba,0.457,0.0,0.68
9f2cb34fed4ed1b427a40682e9881abc,0.739,0.0,0.68
dcb5573fec5c67649035e30917f5a46b,0.146,0.148,1.0
0ad514b9c6a508ce8a840eff342ae92d,0.4,0.0,0.83
0846a688fabc9c78c9bef2d0787ad5c8,0.307,0.002,1.01
e8cd867a448ba55f326d43972aafa121,0.658,0.0,0.76
c10ffa608831644429a642acafb6b16b,0.413,0.0,0.95
8e3f5f1aab1690a3f1190c6a66ef27fd,0.463,0.0,1.06
1f66303915d651fb164415033d687444,0.358,0.0,0.99
e0f9e4e9d75461ca90e7819142fd8035,0.365,0.0,0.99
7488c9beb354655ee4cdea58ef0a577a,0.401,0.0,0.83
f29e6fb71587e2056ec8a3fead5e7c00,0.483,0.0,0.76
f13596798d165ebcbf2bdefcd65c3d32,0.378,0.0,0.76
6c80bd6f5c9716ee9153431a020b84b5,0.587,0.0,0.97
df7a5be01d97d87b0e39585154aa9584,0.402,0.0,0.95
e00cee8c5b59474ddaacd1ca631a3f5e,0.596,0.0,1.01
9cfe34cf2b3b8249d2248d63c4a4623b,0.676,0.0,0.97
cff0569a473469c074531c6bd34cb7f7,0.547,0.0,0.82
d29ad061565648e0e83fa4b4864e5b3c,0.729,0.0,0.91
b6fd45d4ec6888601eb3038b7d541076,0.276,0.006,0.92
84fcc55cfe081fb9f962be5c795634fb,0.186,0.064,0.75
199723fd700c88742896152c0aa64b89,0.246,0.014,1.06
6da11bcb454b0bdd2801aa0e71637dd0,0.296,0.003,1.06
8bc3a3a3dbca5ca0c707b5cf52372be6,0.625,0.0,0.7
bdaa2f776ce533ab56a6ae60a3722d67,0.328,0.001,0.69
d42afca47c8d43f2dcaa01715982d55f,0.521,0.0,0.78
b04e8d33d065f6be9daf425a1e948a45,0.477,0.0,0.73
8a5c3d87e39a18f403c300d50fe38f32,0.176,0.08,0.92
56606a4d340f044f403ec5dd3d8c3c84,0.33,0.001,0.71
cc152d32bc005844df9e36490342cbaa,0.643,0.0,0.83
9fad4a98414c450795338d2e02837b4a,0.55,0.0,1.04
af5a6e7fb7dda32e66f90531dcbd1daa,0.684,0.0,0.88
41434b1a4f878cc9022a5f3ddf481bf7,0.57,0.0,0.9
ddaf1fbeae24c24f5e01ab098fd69cd5,0.556,0.0,0.84
669896f9c69078c931c286bcbafe8052,0.615,0.0,0.86
f26341f5e364733bb47d73a1ec4a95e7,0.567,0.0,0.81
501874fbd4ea298132683e5d198757dd,0.652,0.0,0.97
3541032f231adb8d6de1fcaaaff49162,0.423,0.0,0.84
7262295090a3c8b1d1930a719ad18d50,0.25,0.012,0.94
a5bfdbc2775061e8d3867d65334c4e24,0.406,0.0,0.79
674a822aef01fd7ff861c9888edeeea9,0.414,0.0,0.98
cf6dc583055f630ae3f9d8f013f06801,0.321,0.001,0.54
ed07b727f460cf4dc5271fe35186d674,0.538,0.0,0.83
c9073a3c6e9ebc4a2f5cef09f6cfcfa4,0.142,0.16,0.88
4a19b0e25571ea38fadf078780cd3008,0.398,0.0,1.13
453dbd9c851d4fecdc76d85d95894308,0.52,0.0,0.95
a0113040d0629ee8e422d0fa5ff68d72,0.263,0.008,0.87
60a8ab56dd26faffa48f2b7e75d914ec,0.213,0.033,1.07
edd1822ff58fc82c641528b9315bb4eb,0.537,0.0,0.9
7fbb9243047dc034ea3530dc9e9a053e,0.578,0.0,0.7
92c517291ee85995a81cafda69092ac8,0.642,0.0,0.95
b0b737b5ffaa3a369c28c3b312524f94,0.717,0.0,0.72
1db7dc266059677871b26971fec4e68a,0.524,0.0,0.97
3a0ffe91b1b040c64297b9c21bf52286,0.347,0.0,1.04
7016e01c39970e4700e0b47c09baa2c3,0.499,0.0,0.9
abd54926320c0957f12d25e0c032b7d5,0.451,0.0,0.54
af15e1956237f6ff109f66d167b136db,0.636,0.0,0.81
fe851d8daee40f8159117f1150ee6fdf,0.515,0.0,0.73
ff254402d4f2fb0129bcb3d93d386e9c,0.329,0.001,0.78
08891784317d6b34978f0b7be7269e48,0.463,0.0,1.02
25d83357f46a8e17e96b0c0588696bf4,0.416,0.0,1.11
eecee7d9fb65bdaa7073071fae57fafa,0.419,0.0,0.85
49976c02c8fad85f95bed0c0c7311931,0.591,0.0,0.67
20e42ddcb47435868b26b8da293feb36,0.465,0.0,1.07
2375c77a8e44a723bc4a4cb8adb5d2cd,0.622,0.0,0.8
9258660733dc20a1afda4b198f153ed2,0.379,0.0,1.18
50d41c0766405e982ccf524fa88baea7,0.342,0.0,1.08
2acbf0fced743051cb0ad727398982b7,0.376,0.0,0.99
01f679a61793770ff988030d47b2fbf6,0.557,0.0,0.97
110b1363bcf495b9f49b737eaf437503,0.301,0.002,0.87
68c9c14bd674369961ca39d21fa964ed,0.749,0.0,0.79
cae55e679410533721c4a22ebd0de699,0.735,0.0,0.92
4d7eb646e414478626408ab7746376ca,0.617,0.0,1.03
bd60cf5930cacaa3326c233f8f7a94e3,0.289,0.004,1.06
73cc7b1ff5771cdc881aa1e6e036bd86,0.695,0.0,1.0
b1f45344dfbd764335de988a4b888a14,0.325,0.001,1.02
fcd5785c8a4745da5dbae5405c292286,0.303,0.002,0.7
3574896e8c2e5374da69cfe5903d441b,0.616,0.0,0.61
e9b286913c1c7dfe9031def2f4c1ca33,0.397,0.0,0.81
9c3aea2d112575308c51b88d393ebfb8,0.187,0.062,1.09
fc24f7227091de1a7aedf245edcd8ce5,0.607,0.0,0.84
9887f626479697df07b5e62e80be0bc7,0.537,0.0,0.89
fcc326af3bb2ae5728e4ee1c3cc22283,0.689,0.0,0.88
6e32e84f30a610383a87e420c1db36fd,0.42,0.0,0.78
36744580dc4b466380e15ac4346588ea,0.26,0.009,0.79
bf32d8c778340c951d27491d6b399a50,0.438,0.0,0.95
2f3131ebffcd0291d2b8ab00f00d8751,0.638,0.0,0.75
cd3dd88973c4f5486753bca66ec4a19b,0.137,0.174,1.08
e8a6b41ac5f265893022d295dc95eb30,0.558,0.0,0.91
03be51930e496332510f8c7b6e50f73c,0.59,0.0,0.78
8734afabc21ea931222e5a0bb65afd4e,0.186,0.064,0.83
802df8fd123e79c81d1278966def0ad5,0.467,0.0,0.87
c6528b576cedece24e3ae87f5d51e50a,0.368,0.0,0.94
0f2134989304c4de7d02882e2705ac0d,0.614,0.0,1.09
8abed8b71b898434fd96d9a401c11b81,0.505,0.0,1.04
b714ac8313938c0807171aa85675ff92,0.266,0.008,0.97
6689d6569984c1d130057441fb4fde1c,0.403,0.0,0.74
64d3459a74bef9be1d1d5286cd97d0d5,0.391,0.0,0.99
88a5fe5ff5568b53c7326ef2104ece4c,0.48,0.0,0.73
cb7484cf0520e98781cb8820dbc21861,0.388,0.0,1.09
69af3c63bc59e5cfe37c46d71f56c045,0.495,0.0,0.95
6894f37ecfa97a7dad5cbacfe96b351c,0.482,0.0,0.76
8c391e736bd8a17a17caeb4476f36664,0.209,0.037,1.05
429e490978f15309bd04aaa6783b9fe4,0.407,0.0,1.05
b374866457376c9bed358be0c9ec5cee,0.663,0.0,0.78
62f1ed23e62c008956543989d58eab5f,0.522,0.0,0.98
cd2c8ace5ecbfbf135d3a9a58546550c,0.33,0.001,1.05
7677a3ff1115438f2c90e9ef88ce8d4a,-0.072,0.475,0.92
c68df7b7e5c64c7378f07c7426c4c41c,0.268,0.007,1.02
9c72430d7d28b24f4e0c9d3585df9ae5,0.64,0.0,0.92
67bcea0b22fe3734c90e32021591fb76,0.32,0.001,1.21
79b700cb695d1c9850c8c1a50b5d461d,0.415,0.0,1.06
fe45daf9870f2127fe08bdd4b694cbc4,0.487,0.0,0.95
5416a1ee9ade334a8e38b08d08f04b2a,0.438,0.0,1.16
a8769b5f9568b9e30e028b87db0b9ff6,0.105,0.3,1.09
c5645ff41adf2f320a48870650fd7a59,0.033,0.741,1.08
44ff53d01d03cc8eb2b56557ebce89d9,0.399,0.0,0.95
3e438e5eb77e8b0d537e0c4f493f432d,0.57,0.0,0.94
7f42f0e1b15986b44eff2ab25e6cd6e5,0.635,0.0,0.95
1d36a4e6ea452a1c01e8a9836e5e70e0,0.371,0.0,0.91
6c8d624a849ea1c23f3fad54e7e009c6,-0.06,0.554,1.2
63c444475e7c3ebb4a93d1eef21ff0b9,0.61,0.0,0.78
7947174a58db9bce604939170a8c12ba,0.381,0.0,0.91
209426aae7cd4666709a1fa186bdaaf8,0.647,0.0,0.92
ea56c76f985c78ab04273b863a05b6e0,0.241,0.015,0.99
